category,id
Nike,9546
Wrangler,10855
Rocia,13480
Shree,47032
Cobblerz,45340
Puma,8993
Rreverie,58129
Q&Q,49885
Shree,47028
Angry Birds,57423
Lucera,48803
Lino Perros,36988
Happy Socks,37890
Nike,43047
Rasasi,46692
Reid & Taylor,12387
Puma,16206
Peter England,39388
Estelle,59772
Puma,7935
Little Miss,9885
Aurelia,12127
Scullers,7146
Do u speak green,54897
Carlton London,10638
s.Oliver,7006
Fabindia,45994
Reid & Taylor,12391
Lee,6241
Femella,52146
Reebok,1624
Forever New,6894
Lakme,55122
Red Rose,52435
Forever New,6863
Tantra,12595
Doodle,8419
Elle,57127
Nike,15330
French Connection,48522
FNF,52975
Wrangler,10818
French Connection,48441
Mod'acc,52564
Reebok,10037
Aneri,43256
Fastrack,8221
Baggit,38464
FILA,39013
Lakme,55133
Reebok,10102
French Connection,48492
Franco Leone,47203
Clarks,10284
Aurelia,12135
Catwalk,39194
Puma,10049
Q&Q,53613
F Sports,54520
Wrangler,48535
Reebok,5300
Doodle,50718
Batman,4355
Portia,47614
ADIDAS,13112
Probase,12667
Peter England,55599
Maxima,44980
Enamor,51193
Proline,7460
Nike,46742
Belmonte,13737
Maxima,44969
s.Oliver,6958
Fila,44616
Catwalk,6302
Nike,12692
Puma,9495
Puma,44867
Hanes,13605
Reebok,5314
Baggit,47350
Catwalk,11497
Femella,52140
ADIDAS,8402
Lucera,48858
Lee,11664
Esprit,10238
Lakme,55015
Rockport,10129
Kiara,53659
Nautilus,46790
Doodle,10689
ADIDAS,4800
Kiara,53651
Hanes,49938
Avirate,59968
Flying Machine,10470
Hanes,50025
Remanika,45776
Fila,15410
Lotto,44780
ADIDAS,4817
Clarks,12481
Beatles,4581
Lee,11710
French Connection,43676
Alma,53401
Catwalk,11507
Latin Quarters,38841
Lucera,48877
Indigo Nation,9640
Urban Yoga,7132
Sushilas,54598
Puma,7669
Lucera,48788
Spykar,12907
Helix,39364
Wrangler,7671
Cobblerz,45362
Fashion N Fabrics,52918
Jealous 21,11033
Timex,46466
John Players,37804
ADIDAS,5851
Locomotive,16469
CASIO,45290
Forever New,8493
Q&Q,38020
Nike,6651
Belmonte,14164
ADIDAS,4811
Scullers,11076
Elle,57078
Nike,15729
Lakme,55052
Police,44009
Shree,47074
Red Tape,6510
Q&Q,38015
U.S. Polo Assn.,59296
ASICS,13198
Rocia,13479
Revlon,55441
Deborah,49081
Fortune,59172
Lucera,48644
F Sports,54519
Skechers,4133
UCB,6064
Puma,10579
Q&Q,53569
Madagascar3,37610
Gini and Jony,39836
UCB,6086
Crocs,6352
ADIDAS,8103
Proline,7891
Wrangler,7665
John Miller,9449
ADIDAS,8075
Wrangler,10839
Lucera,59547
Catwalk,14371
Facit,47525
Vans,14577
Flying Machine,10441
Calvin Klein,44790
Indigo Nation,7747
Lee Cooper,41448
Timberland,12452
Quechua,5381
Avirate,59988
Reebok,5301
ToniQ,58611
Mark Taylor,8872
ADIDAS,4805
Avirate,59686
Park Avenue,40004
Royal Diadem,43864
Catwalk,49593
Casio,45111
Lucera,48752
Proline,13714
Reebok,1623
Estelle,42603
Femella,47664
New Hide,14981
Puma,4101
Indigo Nation,9610
Probase,4225
Arrow,45593
Lino Perros,37002
Kipsta,5359
Colorbar,55851
U.S. Polo Assn.,59306
United Colors of Benetton,6037
Skechers,8284
Titan,59267
Jealous 21,3974
Rockport,10146
Femella,57896
Arrow,41239
Pitaraa,48332
CASIO,45156
Reebok,46332
Nike,7058
Nike,10599
Domyos,1595
Timex,46487
Hidekraft,44245
Highlander,58800
Reebok,5299
Wrangler,11026
Q&Q,38013
FCUK,58831
ADIDAS,4786
Nabaiji,1638
Nike,9390
Lotus Herbals,57761
Nike,9976
Crocs,3827
Reebok,12888
Lucera,48859
Fastrack,54621
Inc 5,13019
Boss,44075
Puma,53807
Puma,6100
ADIDAS,46399
Q&Q,53603
Lotus Herbals,57559
Hanes,50001
Catwalk,14373
Nike,38631
Nike,12799
Puma,7945
Colorbar,56173
Myntra,22459
Playboy,32551
Wildcraft,35196
Catwalk,36619
Baggit,38447
Idee,28425
Catwalk,33110
Puma,29235
United Colors of Benetton,14582
Arrow,14738
Urban Yoga,3909
Catwalk,20907
Catwalk,19024
Rocky S,58165
John Miller,29692
Speedo,30285
ADIDAS,3479
Cat,29957
Fila,29218
Spykar,39697
Perry Ellis,26211
Gini and Jony,34042
Lino Perros,25116
Tonga,51458
Q&Q,49891
Puma,38543
Puma,17738
Locomotive,16470
ADIDAS,2607
Fastrack,10099
Reid & Taylor,39104
Fabindia,34270
Police,29950
ADIDAS,5616
Hidekraft,25806
Skechers,41825
Colorbar,56113
Aneri,18286
Mr.Men,2842
Bulchee,27797
Baggit,20522
Tribord,21590
Lee Cooper,22146
Puma,17737
Baggit,20579
Colorbar,56174
Status Quo,3756
Van Heusen,34492
Lotto,41227
Beyouty,19356
Fastrack,20966
Murcia,21954
Locomotive,24693
Asics,3312
Giordano,29419
Folklore,31697
ADIDAS Originals,18978
Murcia,2670
Manchester United,35242
Inkfruit,1849
Fabindia,32221
Myntra,30344
BIBA,21891
Lotto,22543
Mr. Men,16910
ONLY,32594
Jealous 21,26871
Lino Perros,17100
Grendha,32846
Nike,30544
Lotus Herbals,57548
Peter England,16299
Baggit,20412
Ray-Ban,23746
Diva,25827
Inc.5,22276
ADIDAS,15919
United Colors of Benetton,19219
Puma,34546
Polaroid,38234
Puma,18479
Doodle Kids,25503
Genesis,29369
Fabindia,30857
United Colors of Benetton,19524
Colorbar,56038
Puma,33831
Enroute,16187
Myntra,3351
BIBA,28962
Maxima,36794
Myntra,30292
Wrangler,20212
Highlander,21235
Mark Taylor,31570
Hugo Boss,23528
Revlon,55423
Chromozome,50619
Streetwear,56486
Fabindia,34926
Peter England,23977
Lino Perros,25180
Fabindia,30932
Puma,26449
Gini and Jony,40148
Jockey,27474
Catwalk,49621
Calvin Klein,26852
Nike,25468
Lino Perros,23462
John Players,22351
Red Rose,52393
Reebok,26732
Fabindia,56684
Madagascar,37518
U.S. Polo Assn. Denim Co.,33081
Catwalk,20923
Jockey,27445
Giordano,29468
Facit,15779
ADIDAS,3449
Rreverie,58097
Levis,25380
Arrow,32392
Lucera,49001
Roxy,21431
Colorbar,55951
Fastrack,24679
Nike,35695
Quechua,1563
United Colors of Benetton,19714
Urban Yoga,28453
Nike,15606
Colorbar,55891
Nike,17922
Doodle,27204
ADIDAS,29248
Campbell,37148
Facit,32720
Enroute,35782
David Beckham,18459
ADIDAS,2035
ADIDAS,3462
ADIDAS,2048
Catwalk,51754
Chromozome,50693
Puma,33822
s.Oliver,21124
Wills,37119
Allen Solly,35115
Gini and Jony,40941
Arrow Woman,18735
Fabindia,30851
Peter England,16374
Fossil,21704
Myntra,53126
Fila,18345
Playboy,32169
Casio,17454
ADIDAS,2606
Wills Lifestyle,18310
Carlton London,20769
FIFA,1891
United Colors of Benetton,36515
Fastrack,25647
Baggit,33479
Fossil,21782
ADIDAS,2045
ADIDAS,3506
Reebok,5303
ADIDAS,3470
United Colors of Benetton,24873
Catwalk,33097
Pepe Jeans,17331
Doodle,34118
Spice Art,38682
Nyk,51922
Nabaiji,1583
Puma,18586
