Animal,AudioPath,City,StationID
Chicken,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Chicken/Chicken_29.wav,Mombasa,Station_A
Sheep,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Sheep/Sheep_12.wav,Mombasa,Station_B
Cat,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Cat/Cat_7.wav,Kisumu,Station_C
Horse,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Horse/Horse_18.wav,Nakuru,Station_D
Cat,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Cat/Cat_32.wav,Eldoret,Station_D
Chicken,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Chicken/Chicken_5.wav,Kisumu,Station_D
Bear,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Bear/Bear_36.wav,Kisumu,Station_C
Bear,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Bear/Bear_18.wav,Nairobi,Station_B
Frog,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Frog/Frog_8.wav,Nakuru,Station_B
Aslan,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Aslan/Lion_39.wav,Nairobi,Station_A
Sheep,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Sheep/Sheep_49.wav,Mombasa,Station_B
Horse,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Horse/Horse_48.wav,Nakuru,Station_B
Chicken,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Chicken/Chicken_12.wav,Eldoret,Station_B
Cow,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Cow/Cow_38.wav,Nakuru,Station_C
Sheep,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Sheep/Sheep_47.wav,Nakuru,Station_A
Horse,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Horse/Horse_13.wav,Eldoret,Station_A
Dolphin,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Dolphin/Dolphin_49.wav,Nairobi,Station_D
Cat,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Cat/Cat_29.wav,Nairobi,Station_A
Cow,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Cow/Cow_11.wav,Nairobi,Station_C
Dolphin,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Dolphin/Dolphin_50.wav,Kisumu,Station_B
Frog,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Frog/Frog_23.wav,Mombasa,Station_A
Cow,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Cow/Cow_33.wav,Eldoret,Station_B
Cow,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Cow/Cow_49.wav,Nairobi,Station_A
Chicken,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Chicken/Chicken_31.wav,Kisumu,Station_D
Elephant,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Elephant/Elephant_47.wav,Kisumu,Station_C
Dolphin,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Dolphin/Dolphin_6.wav,Nairobi,Station_A
Elephant,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Elephant/Elephant_37.wav,Mombasa,Station_D
Bear,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Bear/Bear_48.wav,Kisumu,Station_D
Cow,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Cow/Cow_39.wav,Mombasa,Station_D
Cow,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Cow/Cow_28.wav,Nairobi,Station_B
Dolphin,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Dolphin/Dolphin_10.wav,Nakuru,Station_B
Dolphin,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Dolphin/Dolphin_28.wav,Kisumu,Station_B
Bear,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Bear/Bear_34.wav,Kisumu,Station_C
Dolphin,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Dolphin/Dolphin_34.wav,Nakuru,Station_C
Monkey,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Monkey/Monkey_13.wav,Nairobi,Station_A
Elephant,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Elephant/Elephant_18.wav,Kisumu,Station_A
Horse,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Horse/Horse_20.wav,Kisumu,Station_A
Elephant,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Elephant/Elephant_23.wav,Mombasa,Station_B
Sheep,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Sheep/Sheep_42.wav,Mombasa,Station_B
Sheep,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Sheep/Sheep_19.wav,Eldoret,Station_B
Sheep,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Sheep/Sheep_1.wav,Nairobi,Station_A
Sheep,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Sheep/Sheep_30.wav,Kisumu,Station_C
Aslan,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Aslan/Lion_48.wav,Kisumu,Station_D
Cat,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Cat/Cat_10.wav,Nakuru,Station_C
Horse,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Horse/Horse_41.wav,Nakuru,Station_C
Sheep,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Sheep/Sheep_45.wav,Mombasa,Station_A
Aslan,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Aslan/Lion_36.wav,Eldoret,Station_B
Dolphin,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Dolphin/Dolphin_18.wav,Mombasa,Station_C
Bear,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Bear/Bear_23.wav,Kisumu,Station_C
Chicken,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Chicken/Chicken_28.wav,Mombasa,Station_B
Aslan,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Aslan/Lion_49.wav,Mombasa,Station_B
Sheep,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Sheep/Sheep_35.wav,Mombasa,Station_A
Horse,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Horse/Horse_4.wav,Nairobi,Station_B
Cat,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Cat/Cat_13.wav,Eldoret,Station_C
Monkey,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Monkey/Monkey_24.wav,Nakuru,Station_D
Horse,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Horse/Horse_6.wav,Nairobi,Station_B
Cow,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Cow/Cow_42.wav,Kisumu,Station_B
Donkey,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Donkey/Donkey_33.wav,Mombasa,Station_C
Bear,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Bear/Bear_50.wav,Mombasa,Station_A
Donkey,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Donkey/Donkey_9.wav,Mombasa,Station_B
Elephant,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Elephant/Elephant_49.wav,Nairobi,Station_B
Cat,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Cat/Cat_46.wav,Mombasa,Station_B
Aslan,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Aslan/Lion_50.wav,Mombasa,Station_D
Dog,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Dog/Dog_22.wav,Kisumu,Station_B
Chicken,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Chicken/Chicken_37.wav,Mombasa,Station_B
Cow,/home/jiale/SemBench/files/animals/source_data/rushibalajiputthewad/sound-classification-of-animal-voice/versions/1/Animal-Soundprepros/Cow/Cow_31.wav,Nairobi,Station_C
