row_id,image_filename,image_filepath
0,1sz0kf8wcmj0q8n3pu6mg61gl158vvz1.png,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/1sz0kf8wcmj0q8n3pu6mg61gl158vvz1.png
1,6zpijbg5jv4jftpftpmla6xbizne28d9.png,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/6zpijbg5jv4jftpftpmla6xbizne28d9.png
2,42c88eafedfab5203c72e1d2ec1c2f37.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/42c88eafedfab5203c72e1d2ec1c2f37.jpg
3,117d500aaa630023c4038b8268b309c0.png,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/117d500aaa630023c4038b8268b309c0.png
4,5588a1833b8fa95fe1b0ed520e447d64.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/5588a1833b8fa95fe1b0ed520e447d64.jpg
5,antbx4oxst0z5o6pe2g1thrjr0dz073j.png,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/antbx4oxst0z5o6pe2g1thrjr0dz073j.png
6,cwncgabxti09zmf36t4phvaz1xzv10wu.png,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/cwncgabxti09zmf36t4phvaz1xzv10wu.png
7,nqr1pjql5qs3dp8rz2a4zzq7rn0xyp6k.png,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/nqr1pjql5qs3dp8rz2a4zzq7rn0xyp6k.png
8,0bfaa418914214344c69f91bff67403d.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0bfaa418914214344c69f91bff67403d.jpg
9,0b7f96ba229219c267f9fddd66eb9da3.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0b7f96ba229219c267f9fddd66eb9da3.jpg
10,0c7d52ade71694ced9bb64864d32c7be.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0c7d52ade71694ced9bb64864d32c7be.jpg
11,0e798feaccebc921e1a3b0fe9d1e1a0c.png,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0e798feaccebc921e1a3b0fe9d1e1a0c.png
12,0c8e4c1700687b0ea4944a2b33b01de5.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0c8e4c1700687b0ea4944a2b33b01de5.jpg
13,0c448a9c591ccc07d830723adc531e27.png,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0c448a9c591ccc07d830723adc531e27.png
14,0d0bd1b0fbf1aea160bc0eb67cb0e840.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0d0bd1b0fbf1aea160bc0eb67cb0e840.jpg
15,0a5dfed51e6aa680993b58db2f5192d5.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0a5dfed51e6aa680993b58db2f5192d5.jpg
16,00e2c0bb3fdac91be384bf5195ec0205.png,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/00e2c0bb3fdac91be384bf5195ec0205.png
17,0c2da2a740161136aaf915beb6c19106.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0c2da2a740161136aaf915beb6c19106.jpg
18,0a8c89db01ee28d3037bc56168b1260b.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0a8c89db01ee28d3037bc56168b1260b.jpg
19,0aac49ab17145acc4c0e6ecd9dc4d987.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0aac49ab17145acc4c0e6ecd9dc4d987.jpg
20,0bb8d4194c48d84689c6245cdc19c590.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0bb8d4194c48d84689c6245cdc19c590.jpg
21,0aa61b89f63e221fb08459533ebc4c6c.png,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0aa61b89f63e221fb08459533ebc4c6c.png
22,0c82dd9e77b50088cd2f6ed6c223169c.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0c82dd9e77b50088cd2f6ed6c223169c.jpg
23,0dd5d7fc57cc8893c4c300e3772e7605.png,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0dd5d7fc57cc8893c4c300e3772e7605.png
24,0dbef125263293a8f03206a50337bd56.png,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0dbef125263293a8f03206a50337bd56.png
25,0bbdf213342a3821cf7c88790047f091.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0bbdf213342a3821cf7c88790047f091.jpg
26,0cf5636ed39f1af90dc53df7ea6ffe5b.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0cf5636ed39f1af90dc53df7ea6ffe5b.jpg
27,0a2143c1083e6baa672e51e58db4afb4.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0a2143c1083e6baa672e51e58db4afb4.jpg
28,0e3f1257ff395ce5b4e9edbb5b769071.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0e3f1257ff395ce5b4e9edbb5b769071.jpg
29,0cfc792177378214c9582b58137b966e.jpg,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0cfc792177378214c9582b58137b966e.jpg
30,0b2fa4c97e23157c3012282822438f72.png,/home/tianji/MMBench-System/files/mmqa/data/files/mmqa/data_sf=200/images/0b2fa4c97e23157c3012282822438f72.png
