id,reviewid1,reviewid2
ant_man_and_the_wasp_quantumania,102779555,102779501
ant_man_and_the_wasp_quantumania,102780028,102779501
ant_man_and_the_wasp_quantumania,102780416,102779634
ant_man_and_the_wasp_quantumania,102780001,102779523
ant_man_and_the_wasp_quantumania,102779585,102780414
ant_man_and_the_wasp_quantumania,102779521,102780692
ant_man_and_the_wasp_quantumania,102779521,102779496
ant_man_and_the_wasp_quantumania,102783393,102779501
ant_man_and_the_wasp_quantumania,102780001,102779486
ant_man_and_the_wasp_quantumania,102780416,102780692
ant_man_and_the_wasp_quantumania,102780416,102779496
ant_man_and_the_wasp_quantumania,102780006,102789858
ant_man_and_the_wasp_quantumania,102779585,102779501
ant_man_and_the_wasp_quantumania,102779555,102780513
ant_man_and_the_wasp_quantumania,102780028,102780513
ant_man_and_the_wasp_quantumania,102783393,102780513
ant_man_and_the_wasp_quantumania,102780006,102779634
ant_man_and_the_wasp_quantumania,102779550,102789858
ant_man_and_the_wasp_quantumania,102780001,102781334
ant_man_and_the_wasp_quantumania,102780001,102780513
ant_man_and_the_wasp_quantumania,102779585,102780513
ant_man_and_the_wasp_quantumania,102779550,102779634
ant_man_and_the_wasp_quantumania,102780006,102780692
ant_man_and_the_wasp_quantumania,102780006,102779496
ant_man_and_the_wasp_quantumania,102779521,102789858
ant_man_and_the_wasp_quantumania,102779555,102780414
ant_man_and_the_wasp_quantumania,102780028,102780414
ant_man_and_the_wasp_quantumania,102780416,102789858
ant_man_and_the_wasp_quantumania,102779550,102780692
ant_man_and_the_wasp_quantumania,102783393,102780414
ant_man_and_the_wasp_quantumania,102779521,102779634
ant_man_and_the_wasp_quantumania,102779550,102779496
