movieId,reviewId,reviewId_right
ant_man_and_the_wasp_quantumania,102779541,102782769
ant_man_and_the_wasp_quantumania,102779701,102779553
ant_man_and_the_wasp_quantumania,102780403,102781334
ant_man_and_the_wasp_quantumania,102780299,102779761
ant_man_and_the_wasp_quantumania,102780376,102781291
ant_man_and_the_wasp_quantumania,102780483,102780917
ant_man_and_the_wasp_quantumania,102780748,102780374
ant_man_and_the_wasp_quantumania,102780748,102780916
ant_man_and_the_wasp_quantumania,102782734,102780758
ant_man_and_the_wasp_quantumania,102781867,102780910
ant_man_and_the_wasp_quantumania,102779563,102780869
ant_man_and_the_wasp_quantumania,102780607,102780916
ant_man_and_the_wasp_quantumania,102779701,102780845
ant_man_and_the_wasp_quantumania,102780403,102783989
ant_man_and_the_wasp_quantumania,102780607,102779634
ant_man_and_the_wasp_quantumania,102780376,102780948
ant_man_and_the_wasp_quantumania,102780483,102781469
ant_man_and_the_wasp_quantumania,102782734,102781469
ant_man_and_the_wasp_quantumania,102779541,102780494
ant_man_and_the_wasp_quantumania,102781867,102780483
ant_man_and_the_wasp_quantumania,102780748,102779496
ant_man_and_the_wasp_quantumania,102780748,102782018
ant_man_and_the_wasp_quantumania,102782734,102780374
ant_man_and_the_wasp_quantumania,102780299,102779560
ant_man_and_the_wasp_quantumania,102779563,102779521
ant_man_and_the_wasp_quantumania,102780607,102779490
ant_man_and_the_wasp_quantumania,102779701,102780006
ant_man_and_the_wasp_quantumania,102780403,102779616
ant_man_and_the_wasp_quantumania,102780376,102779543
ant_man_and_the_wasp_quantumania,102780483,102779486
ant_man_and_the_wasp_quantumania,102781867,102779597
ant_man_and_the_wasp_quantumania,102779541,102789361
ant_man_and_the_wasp_quantumania,102780299,102782142
ant_man_and_the_wasp_quantumania,102779563,102779521
ant_man_and_the_wasp_quantumania,102780748,102780388
ant_man_and_the_wasp_quantumania,102780748,102779528
ant_man_and_the_wasp_quantumania,102779701,102780692
ant_man_and_the_wasp_quantumania,102780403,102780414
ant_man_and_the_wasp_quantumania,102780376,102779634
ant_man_and_the_wasp_quantumania,102780483,102779486
ant_man_and_the_wasp_quantumania,102779555,102789858
ant_man_and_the_wasp_quantumania,102781867,102782018
ant_man_and_the_wasp_quantumania,102779563,102789361
ant_man_and_the_wasp_quantumania,102779541,102780041
ant_man_and_the_wasp_quantumania,102780748,102779490
ant_man_and_the_wasp_quantumania,102780748,102780001
ant_man_and_the_wasp_quantumania,102780299,102779553
ant_man_and_the_wasp_quantumania,102779701,102780006
ant_man_and_the_wasp_quantumania,102780403,102779761
ant_man_and_the_wasp_quantumania,102780376,102781291
ant_man_and_the_wasp_quantumania,102780483,102779496
ant_man_and_the_wasp_quantumania,102781867,102781954
ant_man_and_the_wasp_quantumania,102779563,102783393
ant_man_and_the_wasp_quantumania,102780607,102780792
ant_man_and_the_wasp_quantumania,102779541,102779521
ant_man_and_the_wasp_quantumania,102779701,102782182
ant_man_and_the_wasp_quantumania,102780403,102782734
ant_man_and_the_wasp_quantumania,102780299,102779563
ant_man_and_the_wasp_quantumania,102780376,102781057
ant_man_and_the_wasp_quantumania,102780483,102779490
ant_man_and_the_wasp_quantumania,102780748,102780403
ant_man_and_the_wasp_quantumania,102780748,102779630
ant_man_and_the_wasp_quantumania,102781867,102780165
ant_man_and_the_wasp_quantumania,102779563,102782769
ant_man_and_the_wasp_quantumania,102779701,102782018
ant_man_and_the_wasp_quantumania,102780403,102779585
ant_man_and_the_wasp_quantumania,102780376,102780644
ant_man_and_the_wasp_quantumania,102780483,102781777
ant_man_and_the_wasp_quantumania,102779541,102782650
ant_man_and_the_wasp_quantumania,102781867,102780748
